strain	date	Host	Geo_Location	country	accession
OL774861	1977-01-01 (1977-01-01 - 1977-11-24)	Homo sapiens	Nigeria	Nigeria	
MH053478	2016-01-17	Homo sapiens	Nigeria	Nigeria	
MG812635	1981-12-31 (1981-02-10 - 1981-12-31)	Homo sapiens	Nigeria	Nigeria	
OM140831	2000-12-12 (2000-01-01 - 2000-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107965	2013-01-17	Homo sapiens	Nigeria: Benue	Nigeria	
MK107929	2016-02-23	Homo sapiens	Nigeria: Kaduna	Nigeria	
MH053476	2016-02-23	Homo sapiens	Nigeria	Nigeria	
GU481070	2008-01-01 (2008-01-01 - 2008-11-23)	Homo sapiens	Nigeria: Plateau State	Nigeria	
GU481072	2008-01-01 (2008-01-01 - 2008-11-22)	Homo sapiens	Nigeria: Plateau State	Nigeria	
OM140829	2007-12-31 (2007-02-08 - 2007-12-31)	Homo sapiens	Nigeria	Nigeria	
MZ169799	2018-12-31 (2018-02-11 - 2018-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107941	2016-01-22	Homo sapiens	Nigeria: Taraba	Nigeria	
MK107921	2016-02-26	Homo sapiens	Nigeria: Benue	Nigeria	
MK117971	2018-01-19	Homo sapiens	Nigeria: IMO	Nigeria	
MH887809	2018-01-19	Homo sapiens	Nigeria	Nigeria	
MK107930	2016-02-06	Homo sapiens	Nigeria: Nasarawa	Nigeria	
KT992424	2012-10-29	Mastomys erythroleucus	Nigeria	Nigeria	
KT992422	2011-10-23	Mastomys erythroleucus	Nigeria	Nigeria	
KT992423	2011-10-24	Mastomys erythroleucus	Nigeria	Nigeria	
MK107914	2015-12-30	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MK107910	2014-01-20	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MK107935	2016-02-15	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MK107931	2016-01-20	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MK107932	2016-01-24	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MK107934	2016-03-13	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MH053463	2016-03-13	Homo sapiens	Nigeria	Nigeria	
MZ169791	2018-12-31 (2018-02-11 - 2018-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107968	2013-01-18	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MK107949	2015-12-30	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MH053475	2015-12-30	Homo sapiens	Nigeria	Nigeria	
MK107933	2016-02-03	Homo sapiens	Nigeria: Nasarawa	Nigeria	
MK117849	2017-01-24	Homo sapiens	Nigeria: NASARAWA	Nigeria	
MH053472	2016-11-05	Homo sapiens	Nigeria	Nigeria	
MZ169793	2018-01-01 (2018-01-01 - 2018-11-25)	Homo sapiens	Nigeria	Nigeria	
MH053480	2015-12-15	Homo sapiens	Nigeria	Nigeria	
MK107917	2016-01-25	Homo sapiens	Nigeria: Bauchi	Nigeria	
KM821980	2012-12-31 (2012-02-07 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107912	2015-04-10	Homo sapiens	Nigeria: Bauchi	Nigeria	
MK107918	2016-01-28	Homo sapiens	Nigeria: Bauchi	Nigeria	
MH053470	2016-01-28	Homo sapiens	Nigeria	Nigeria	
MK107939	2016-01-20	Homo sapiens	Nigeria: Plateau	Nigeria	
MH053482	2016-10-13	Homo sapiens	Nigeria	Nigeria	
MK107940	2016-01-04	Homo sapiens	Nigeria: Plateau	Nigeria	
MK107953	2016-01-08	Homo sapiens	Nigeria: Bauchi	Nigeria	
MK107899	2013-11-23	Homo sapiens	Nigeria: Bauchi	Nigeria	
MH053589	2016-11-01	Homo sapiens	Nigeria	Nigeria	
MK117989	2018-02-04	Homo sapiens	Nigeria: BAUCHI	Nigeria	
MK118034	2018-03-05	Homo sapiens	Nigeria: BAUCHI	Nigeria	
MH053468	2016-10-16	Homo sapiens	Nigeria	Nigeria	
MK107945	2013-12-04	Homo sapiens	Nigeria: Bauchi	Nigeria	
MK118011	2018-02-08	Homo sapiens	Nigeria: BAUCHI	Nigeria	
MK107900	2013-12-08	Homo sapiens	Nigeria: Bauchi	Nigeria	
MK107911	2015-04-25	Homo sapiens	Nigeria: Bauchi	Nigeria	
MK117852	2018-01-02	Homo sapiens	Nigeria: BAUCHI	Nigeria	
MK117952	2018-01-02	Homo sapiens	Nigeria: BAUCHI	Nigeria	
MK107947	2014-04-07	Homo sapiens	Nigeria: Bauchi	Nigeria	
MK107920	2016-02-29	Homo sapiens	Nigeria: Bauchi	Nigeria	
MK107919	2016-02-12	Homo sapiens	Nigeria: Bauchi	Nigeria	
MH053474	2016-02-12	Homo sapiens	Nigeria	Nigeria	